M20_distances_tr_wLabels	M20_distances_tr_wBootstraps	iqtree_FAMSA_AAonly_trim35	iqtree_FAMSA_AAonly_trim35_allmodels	iqtree_FAMSA_AAonly_full	iqtree_FAMSA_AAonly_full_allmodels	iqtree_FAMSA3di_3diFull	iqtree_FAMSA3di_3diFull_allmodels	iqtree_FAMSA3di_3diTrim35	iqtree_FAMSA3di_3diTrim35_allmodels	iqtree_FAMSA3di_AAfull	iqtree_FAMSA3di_AAfull_allmodels	iqtree_FAMSA3di_AA_trim35	iqtree_FAMSA3di_AA_trim35_allmodels	iqtree_FAMSA3di_BothFull	iqtree_FAMSA3di_BothFull_allmodels	iqtree_FAMSA3di_BothFullNonPart	iqtree_FAMSA3di_BothFullNonPart_allmodels	iqtree_FAMSA3di_BothTrim35	iqtree_FAMSA3di_BothTrim35_allmodels	iqtree_FAMSA3di_BothTrim35NonPart	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	iqtree_USaln_3di_Full	iqtree_USaln_3di_Trim	iqtree_USaln_AAs_Full	iqtree_USaln_AAs_Trim	iqtree_USaln_Both_Full	iqtree_USaln_Both_Full_allmodels	iqtree_USaln_Both_Trim	iqtree_USaln_Both_Trim_allmodels	iqtrAF_FAMSA3di_3diFull	iqtrAF_FAMSA3di_3diFull_allmodels	iqtrAF_FAMSA3di_3diTrim35	iqtrAF_FAMSA3di_3diTrim35_allmodels	iqtrAF_FAMSA3di_AAfull	iqtrAF_FAMSA3di_AAfull_allmodels	iqtrAF_FAMSA3di_AA_trim35	iqtrAF_FAMSA3di_AA_trim35_allmodels	iqtrAF_FAMSA3di_BothFull	iqtrAF_FAMSA3di_BothFull_allmodels	iqtrAF_FAMSA3di_BothFullNonPart	iqtrAF_FAMSA3di_BothFullNonPart_allmodels	iqtrAF_FAMSA3di_BothTrim35	iqtrAF_FAMSA3di_BothTrim35_allmodels	iqtrAF_FAMSA3di_BothTrim35NonPart	iqtrAF_FAMSA3di_BothTrim35NonPart_allmodels	iqtrAF_USaln_3diFull	iqtrAF_USaln_3diFull_allmodels	iqtrAF_USaln_3diTrim35	iqtrAF_USaln_3diTrim35_allmodels	iqtrAF_USaln_AAfull	iqtrAF_USaln_AAfull_allmodels	iqtrAF_USaln_AA_trim35	iqtrAF_USaln_AA_trim35_allmodels	iqtrAF_USaln_BothFull	iqtrAF_USaln_BothFull_allmodels	iqtrAF_USaln_BothFullNonPart	iqtrAF_USaln_BothFullNonPart_allmodels	iqtrAF_USaln_BothTrim35	iqtrAF_USaln_BothTrim35_allmodels	iqtrAF_USaln_BothTrim35NonPart	iqtrAF_USaln_BothTrim35NonPart_allmodels
1	all		NA	NA	NA	NA					NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA	NA	NA	NA		NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	type1_type2_minus_1otkA		NA	NA	NA	NA	100	100	100	100	NA	NA	NA	NA	93	98	98	98	99	100	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	63	NA	NA	NA	NA	NA	76	78	69	71	70	75	74	NA	NA	NA	NA	41	28	45	62	NA	NA	NA	NA	96	80	74	70
3	type3_plus_rubreythrin		NA	NA	NA	NA	85	NA	76	NA	75	85	91	88	88	54	75	65	79	NA	46	30	98	94	86	91	99	96	93	89	100	98	99	98	52	75	NA	NA	100	99	99	100	100	99	99	99	99	99	100	93	35	28	46	49	100	99	98	99	97	95	96	98
4	Dps_and_related_plus_Ferritins_and_Bacterioferritins_plus_2fzf_A		NA	NA	NA	NA	NA	NA	34	NA	NA	62	NA	72	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
5	type3_Dps_and_related_plus_Ferritins_and_Bacterioferritins		NA	NA	NA	NA	46	NA	NA	NA	68	NA	78	NA	60	32	31	NA	48	NA	35	30	NA	NA	82	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66	76	70	76	NA	NA	35	34	47	35	54	48
6	Dps_and_related_plus_Bacterioferritins	0	93	94	88	87	NA	NA	NA	NA	65	NA	82	NA	62	NA	NA	NA	49	NA	46	46	NA	NA	73	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91	84	87	84	53	NA	69	58	79	69	85	82
7	Dps_and_related_plus_2vzb_A	27	58	58	60	51	88	NA	55	NA	75	94	94	68	86	74	72	66	83	42	86	81	NA	NA	NA	25	36	NA	NA	NA	80	61	81	55	NA	69	NA	62	71	NA	NA	50	47	51	NA	46	54	NA	NA	NA	NA	NA	NA	NA	90	87	82	72	92	86	96	90
8	Dps_and_related	100	99	99	100	99	NA	NA	NA	NA	85	99	99	98	98	97	99	86	98	91	95	94	NA	NA	95	97	98	95	87	84	NA	NA	NA	NA	99	99	99	99	98	99	100	100	98	99	99	100	NA	NA	NA	NA	100	100	100	100	99	100	100	100	100	100	100	100
9	Dps_and_related_clade2		75	78	63	64	NA	NA	NA	NA	67	71	NA	NA	94	93	93	86	93	89	92	92	NA	NA	93	96	84	86	85	88	NA	NA	NA	NA	90	77	83	68	82	64	84	82	83	70	89	86	NA	NA	NA	NA	73	74	87	79	91	77	88	83	81	49	83	83
10			48	44	45	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	78	84	61	39	71	59	NA	NA	NA	NA	72	NA	64	NA	NA	NA	65	67	47	NA	62	55	NA	NA	NA	NA	NA	NA	NA	NA	65	64	84	81	68	51	83	85
