M20_distances_tr_wLabels	M20_distances_tr_wBootstraps	iqtree_FAMSA_AAonly_trim35	iqtree_FAMSA_AAonly_trim35_allmodels	iqtree_FAMSA_AAonly_full	iqtree_FAMSA_AAonly_full_allmodels	iqtree_FAMSA3di_3diFull	iqtree_FAMSA3di_3diFull_allmodels	iqtree_FAMSA3di_3diTrim35	iqtree_FAMSA3di_3diTrim35_allmodels	iqtree_FAMSA3di_AAfull	iqtree_FAMSA3di_AAfull_allmodels	iqtree_FAMSA3di_AA_trim35	iqtree_FAMSA3di_AA_trim35_allmodels	iqtree_FAMSA3di_BothFull	iqtree_FAMSA3di_BothFull_allmodels	iqtree_FAMSA3di_BothFullNonPart	iqtree_FAMSA3di_BothFullNonPart_allmodels	iqtree_FAMSA3di_BothTrim35	iqtree_FAMSA3di_BothTrim35_allmodels	iqtree_FAMSA3di_BothTrim35NonPart	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	iqtree_USaln_3di_Full	iqtree_USaln_3di_Trim	iqtree_USaln_AAs_Full	iqtree_USaln_AAs_Trim	iqtree_USaln_Both_Full	iqtree_USaln_Both_Full_allmodels	iqtree_USaln_Both_Trim	iqtree_USaln_Both_Trim_allmodels	iqtrAF_FAMSA3di_3diFull	iqtrAF_FAMSA3di_3diFull_allmodels	iqtrAF_FAMSA3di_3diTrim35	iqtrAF_FAMSA3di_3diTrim35_allmodels	iqtrAF_FAMSA3di_AAfull	iqtrAF_FAMSA3di_AAfull_allmodels	iqtrAF_FAMSA3di_AA_trim35	iqtrAF_FAMSA3di_AA_trim35_allmodels	iqtrAF_FAMSA3di_BothFull	iqtrAF_FAMSA3di_BothFull_allmodels	iqtrAF_FAMSA3di_BothFullNonPart	iqtrAF_FAMSA3di_BothFullNonPart_allmodels	iqtrAF_FAMSA3di_BothTrim35	iqtrAF_FAMSA3di_BothTrim35_allmodels	iqtrAF_FAMSA3di_BothTrim35NonPart	iqtrAF_FAMSA3di_BothTrim35NonPart_allmodels	iqtrAF_USaln_3diFull	iqtrAF_USaln_3diFull_allmodels	iqtrAF_USaln_3diTrim35	iqtrAF_USaln_3diTrim35_allmodels	iqtrAF_USaln_AAfull	iqtrAF_USaln_AAfull_allmodels	iqtrAF_USaln_AA_trim35	iqtrAF_USaln_AA_trim35_allmodels	iqtrAF_USaln_BothFull	iqtrAF_USaln_BothFull_allmodels	iqtrAF_USaln_BothFullNonPart	iqtrAF_USaln_BothFullNonPart_allmodels	iqtrAF_USaln_BothTrim35	iqtrAF_USaln_BothTrim35_allmodels	iqtrAF_USaln_BothTrim35NonPart	iqtrAF_USaln_BothTrim35NonPart_allmodels
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0.00499779	0.00499779	NA	NA	NA	NA	0.2923802048	0.3877640188	0.3690344336	0.4589040971	NA	NA	NA	NA	0.6347296569	1.087492462	0.3605109038	0.3542601307	0.56136938	0.9780050227	0.5573492499	0.5631347581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1268422647	0.1568031267	NA	NA	NA	NA	NA	0.1623596685	0.1508177486	0.1995453724	0.2853980611	0.3055633763	0.2364398983	0.2491912367	NA	NA	NA	NA	0.1543622907	0.3156492864	0.7114473411	0.1483562172	NA	NA	NA	NA	0.1174867711	0.5057941285	0.200804293	0.2073426737
3	0.07329903	0.07329903	NA	NA	NA	NA	0.1808806023	NA	0.1418493319	NA	0.9862610344	0.4966559128	0.8187847411	0.6260237308	0.4088893174	0.3389292696	0.400024595	0.4345692271	0.3431835048	NA	0.1958534793	0.1773947243	0.2374618343	0.2541058779	0.718178697	0.5439829479	0.4741512407	0.1718994342	0.4257787518	0.3741167703	0.2574007665	0.2923063709	0.3816933457	0.3085045378	2.300549234	1.075568381	NA	NA	0.6158951098	0.6933980282	0.5957452098	0.6804520242	1.155580822	0.8445142959	0.6076981503	0.6000095182	0.4602549457	1.584609435	0.4365919698	0.4672261134	0.2859953617	0.3525038386	0.367189414	0.3934809527	1.037846108	2.249366721	1.218354131	1.223818442	1.456677187	1.223753819	0.7402151836	0.759330847
4	0.01973317	0.01973317	NA	NA	NA	NA	NA	NA	0.0451816289	NA	NA	0.6037000724	NA	0.4945315193	NA	0.146347333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7173e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1324894488	NA	NA	NA	NA	NA	NA
5	0.02103791	0.02103791	NA	NA	NA	NA	0.0166418858	NA	NA	NA	0.4304797158	NA	0.3879783971	NA	0.2252823334	0.3193894244	0.1405626102	NA	0.1576110641	NA	0.1179725957	0.1228137126	NA	NA	0.5566827837	0.4837013431	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7646e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4249311126	0.5671126323	1.082955074	0.5582706906	NA	NA	0.0026095622	0.00137863	0.2183680647	0.0472017876	0.0411944245	0.0478789341
6	0.01962683	0.01962683	0.5113404603	0.4727532305	0.4085060072	0.3425738886	NA	NA	NA	NA	0.3542134177	NA	0.4610155692	NA	0.1834280499	NA	NA	NA	0.1570782977	NA	0.146170178	0.1484730182	NA	NA	0.4736447476	0.3229492963	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5688560973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.462328308	0.6857123629	0.7946802839	0.4320705936	0.1529857976	NA	0.2541080896	0.2543431626	0.3294849307	0.2294239773	0.1888856287	0.1907209502
7	0.0596333	0.0596333	0.1520346452	0.1288368152	0.12837355	0.1040361343	0.1437402515	NA	0.0881831109	NA	0.4229165867	0.4845542095	0.4715088476	0.5397846509	0.3359682636	0.3786490598	0.2592447194	0.162198474	0.2915133838	0.1635790075	0.2641308525	0.2668844645	NA	NA	NA	2.7585e-06	2.1858e-06	NA	NA	NA	0.1227044096	0.2115828435	0.1082259144	0.1607291811	NA	0.5232326032	NA	0.4066861997	0.172767852	NA	NA	0.1388909449	0.212503166	0.1966813983	NA	0.1156579066	0.1021131761	NA	NA	NA	NA	NA	NA	NA	0.2815404892	0.582706983	0.3134232797	0.3145527975	0.3668408497	0.3074276101	0.2318860237	0.2417457174
8	0.03104771	0.03104771	0.709989252	0.6905550924	0.6924050557	0.64479449	NA	NA	NA	NA	0.4665890844	0.4997747885	0.3959562828	0.4248529632	0.248245052	0.2975018024	0.2594805507	0.2855147825	0.2215614687	0.1895858239	0.2560942694	0.2515631194	NA	NA	0.5479023494	0.4156456987	0.2692649815	0.3399868748	0.1786326986	0.1684967369	NA	NA	NA	NA	1.323992466	0.617011563	1.396876819	0.714144508	0.2736091077	0.3400414772	0.3038261083	0.3676412347	0.4354023285	0.3822798644	0.2785438381	0.2893944639	NA	NA	NA	NA	0.5924322135	0.8949320854	1.12744931	0.7905286954	0.2731573676	0.6965058048	0.3291032719	0.3310383474	0.4187749798	0.3856670687	0.2391365843	0.2426009458
9	0.05369617	0.05369617	0.4742719822	0.4662304476	0.4586845053	0.434425281	NA	NA	NA	NA	0.2182629502	0.2354500926	NA	NA	0.181036126	0.2320442213	0.1410958055	0.1546897355	0.1517964299	0.1408607842	0.1478811032	0.1332256667	NA	NA	0.3716749035	0.2681706959	0.1137901225	0.1432302496	0.1157021672	0.1166413601	NA	NA	NA	NA	0.77021741	0.311029016	0.6248479786	0.2321595326	0.0995828239	0.0977992018	0.0924778958	0.1116963252	0.1365919384	0.0865948293	0.0823951568	0.0832304752	NA	NA	NA	NA	0.2685656972	0.3566046601	0.507744405	0.3026583514	0.1433010153	0.231571903	0.1315130502	0.13165341	0.1833014638	0.1254063451	0.096752707	0.0994956333
10	0.01018693	0.01018693	0.1595723386	0.1470839668	0.1684133926	0.1393443549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0757284241	NA	NA	NA	0.1870866491	0.181405677	0.070181043	0.0722739048	0.0822009988	0.0767444903	NA	NA	NA	NA	0.2814193641	NA	0.2487592726	NA	NA	NA	0.1113904152	0.130822531	0.0909313551	NA	0.1046079971	0.1054257868	NA	NA	NA	NA	NA	NA	NA	NA	0.0634713898	0.1730945514	0.1222391246	0.1225543399	0.123119931	0.0961433166	0.0891098581	0.0913299261
