M20_distances_tr_wLabels	M20_distances_tr_wBootstraps	iqtree_FAMSA_AAonly_trim35	iqtree_FAMSA_AAonly_trim35_allmodels	iqtree_FAMSA_AAonly_full	iqtree_FAMSA_AAonly_full_allmodels	iqtree_FAMSA3di_3diFull	iqtree_FAMSA3di_3diFull_allmodels	iqtree_FAMSA3di_3diTrim35	iqtree_FAMSA3di_3diTrim35_allmodels	iqtree_FAMSA3di_AAfull	iqtree_FAMSA3di_AAfull_allmodels	iqtree_FAMSA3di_AA_trim35	iqtree_FAMSA3di_AA_trim35_allmodels	iqtree_FAMSA3di_BothFull	iqtree_FAMSA3di_BothFull_allmodels	iqtree_FAMSA3di_BothFullNonPart	iqtree_FAMSA3di_BothFullNonPart_allmodels	iqtree_FAMSA3di_BothTrim35	iqtree_FAMSA3di_BothTrim35_allmodels	iqtree_FAMSA3di_BothTrim35NonPart	iqtree_FAMSA3di_BothTrim35NonPart_allmodels	iqtree_USaln_3di_Full	iqtree_USaln_3di_Trim	iqtree_USaln_AAs_Full	iqtree_USaln_AAs_Trim	iqtree_USaln_Both_Full	iqtree_USaln_Both_Full_allmodels	iqtree_USaln_Both_Trim	iqtree_USaln_Both_Trim_allmodels	iqtrAF_FAMSA3di_3diFull	iqtrAF_FAMSA3di_3diFull_allmodels	iqtrAF_FAMSA3di_3diTrim35	iqtrAF_FAMSA3di_3diTrim35_allmodels	iqtrAF_FAMSA3di_AAfull	iqtrAF_FAMSA3di_AAfull_allmodels	iqtrAF_FAMSA3di_AA_trim35	iqtrAF_FAMSA3di_AA_trim35_allmodels	iqtrAF_FAMSA3di_BothFull	iqtrAF_FAMSA3di_BothFull_allmodels	iqtrAF_FAMSA3di_BothFullNonPart	iqtrAF_FAMSA3di_BothFullNonPart_allmodels	iqtrAF_FAMSA3di_BothTrim35	iqtrAF_FAMSA3di_BothTrim35_allmodels	iqtrAF_FAMSA3di_BothTrim35NonPart	iqtrAF_FAMSA3di_BothTrim35NonPart_allmodels	iqtrAF_USaln_3diFull	iqtrAF_USaln_3diFull_allmodels	iqtrAF_USaln_3diTrim35	iqtrAF_USaln_3diTrim35_allmodels	iqtrAF_USaln_AAfull	iqtrAF_USaln_AAfull_allmodels	iqtrAF_USaln_AA_trim35	iqtrAF_USaln_AA_trim35_allmodels	iqtrAF_USaln_BothFull	iqtrAF_USaln_BothFull_allmodels	iqtrAF_USaln_BothFullNonPart	iqtrAF_USaln_BothFullNonPart_allmodels	iqtrAF_USaln_BothTrim35	iqtrAF_USaln_BothTrim35_allmodels	iqtrAF_USaln_BothTrim35NonPart	iqtrAF_USaln_BothTrim35NonPart_allmodels
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.00952033569527459	0.00952033569527459	NA	NA	NA	NA	0.210027829444426	0.181831697381263	0.309897634659487	0.230492231114104	NA	NA	NA	NA	0.212897748349271	0.231525045179145	0.13380351651155	0.13287461549029	0.260579758861124	0.27000975754746	0.188133985166098	0.187356977580265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0859600100805587	0.123453296463034	NA	NA	NA	NA	NA	0.0458121490492541	0.0489573850443728	0.0557819398651012	0.0685264433194186	0.0728523815084893	0.0791583789188194	0.0836831979132394	NA	NA	NA	NA	0.0338239487405862	0.0603535455959409	0.084503101080886	0.0276879455241121	NA	NA	NA	NA	0.0270744530503009	0.127878815049977	0.0743225922078512	0.0747738799913778
3	0.149148325614419	0.149148325614419	NA	NA	NA	NA	0.327589753476117	NA	0.395690266857898	NA	0.2621264423519	0.0905992500267682	0.324166712315411	0.110698571562557	0.342229533076346	0.303682432194371	0.282272527955937	0.295871277973102	0.380293751402456	NA	0.254244589201119	0.246376846102802	0.126067093615109	0.16220386528168	0.161298006342929	0.151379347256676	0.158614709001094	0.0425891020301279	0.158438487227878	0.136482538372982	0.198943772576035	0.150123132618647	0.343445588609815	0.289640375091186	0.281817493311179	0.323054587947961	NA	NA	0.207275661639704	0.241464518334285	0.24234395854292	0.245998998965444	0.313668570630206	0.274201373063928	0.282611352784834	0.285177905055796	0.225115201366113	0.230948561419165	0.236737544075871	0.205685297220083	0.0964914072909807	0.112268238224862	0.128116510499352	0.101123891713318	0.340035822832098	0.286623650282611	0.313377206744927	0.313188697065529	0.362761081762799	0.43727779670819	0.348294380434324	0.348610966270492
4	0.186738220894518	0.186738220894518	NA	NA	NA	NA	NA	NA	0.42301680282689	NA	NA	0.200725340124423	NA	0.198145628416478	NA	0.334839496788969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.281817688775787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.303506006140577	NA	NA	NA	NA	NA	NA
5	0.226813527285337	0.226813527285337	NA	NA	NA	NA	0.338406016189123	NA	NA	NA	0.352332331196551	NA	0.387827665882564	NA	0.413486386719208	0.402836888493143	0.334442299623194	NA	0.435273811598225	NA	0.294066396754304	0.28723741396365	NA	NA	0.286325138937259	0.285983554738407	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.323055018040983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.296037838313952	0.323323460416482	0.401387392399353	0.205314796285946	NA	NA	0.314048421535648	0.313541503755327	0.413083308342445	0.449211720663436	0.363541446956704	0.365877521237795
6	0.264200854530797	0.264200854530797	0.324651127869927	0.319726036906274	0.285952919237439	0.268466143872512	NA	NA	NA	NA	0.426556818464088	NA	0.463472833149471	NA	0.471504720906615	NA	NA	NA	0.490068024887182	NA	0.343406335947749	0.336634925912703	NA	NA	0.39270249853009	0.375853749860559	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.411552825286595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.397343467559281	0.424311145240533	0.495776596600412	0.285952785606205	0.390159488727794	NA	0.379408468589273	0.378630736739953	0.489012063584394	0.507216479335079	0.433452649282412	0.434657117775313
7	0.377796870893433	0.377796870893433	0.356418401661501	0.348108146154345	0.308833909919577	0.287917907613487	0.431828861492968	NA	0.50924557833493	NA	0.515177873557294	0.361409203473809	0.540839776973997	0.379775271633006	0.577771559618221	0.483450542141839	0.430660901410656	0.372026037088389	0.591757734811526	0.31517100634452	0.432564058677365	0.425428355749204	NA	NA	NA	0.375854517494786	0.158615440202452	NA	NA	NA	0.293781400643234	0.308919701239373	0.416453442938626	0.388239208177877	NA	0.492952916245264	NA	0.157564425500704	0.265419605735963	NA	NA	0.308044025732793	0.358748479522565	0.32109412715664	NA	0.341129247929771	0.275059755823695	NA	NA	NA	NA	NA	NA	NA	0.482402308899042	0.436552421380516	0.460025187014648	0.459128282312438	0.57354937165018	0.584942724615592	0.519279352091775	0.521837749425946
8	0.43693993648233	0.43693993648233	0.504768949838783	0.500233996547987	0.432246510316913	0.408475924934612	NA	NA	NA	NA	0.612950385335918	0.45257739427439	0.605809772010747	0.454901203505043	0.656291526412603	0.54678810138787	0.526967031916142	0.479115894664285	0.669045855133206	0.367512273677026	0.519009022026768	0.509124318471288	NA	NA	0.524592806413328	0.491520228712663	0.248690890857721	0.256779585269567	0.224910321287159	0.197952283076583	NA	NA	NA	NA	0.488077814037831	0.588942342446125	0.124997900806111	0.242869176674842	0.357501046109118	0.405102061528417	0.396046466648722	0.410816347632888	0.451113678920588	0.412237244049482	0.424333707191358	0.438313460818825	NA	NA	NA	NA	0.547666498669526	0.587023120858044	0.660038327286149	0.507572731363987	0.571898516032784	0.525304083948927	0.544675012097925	0.543844662735255	0.670054734961129	0.682450079822374	0.607789665150208	0.60932680164725
9	0.539226259827355	0.539226259827355	0.692942184554015	0.691138212724135	0.596866019675845	0.568230287359068	NA	NA	NA	NA	0.758274452229451	0.589864595675176	NA	NA	0.713553294522702	0.661741757384722	0.579334698863057	0.537136364210894	0.721997574614711	0.466745868164117	0.568926486311086	0.553448981245159	NA	NA	0.668632730790056	0.639022172452965	0.286756355246025	0.29226572716645	0.267964786223836	0.240504529245498	NA	NA	NA	NA	0.610046348676994	0.728095461101121	0.240863282219979	0.338528544779381	0.391015025004852	0.43269753305871	0.42606598354777	0.442040512946877	0.480089963153937	0.432883172292637	0.451919013605144	0.466263851132749	NA	NA	NA	NA	0.699135797386007	0.751636228753722	0.813392921011571	0.676280508474511	0.618849097891314	0.554811937657744	0.578501952290064	0.577536228842685	0.712295974798084	0.714156289735675	0.643600214217337	0.64520785985529
10	0.558631435575888	0.558631435575888	0.726284441269249	0.723540078664991	0.626883614942377	0.594283672448688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.594488717208208	NA	NA	NA	0.710651108165024	0.689503668387583	0.310233559895757	0.310172014758192	0.298552977493207	0.268501891763851	NA	NA	NA	NA	0.630289798319662	NA	0.261511173457479	NA	NA	NA	0.490340481723858	0.507567375650322	0.499379921419156	NA	0.510609819638371	0.525849903936255	NA	NA	NA	NA	NA	NA	NA	NA	0.639644614770527	0.592495992909115	0.628662143284225	0.627640535974309	0.761273288742947	0.755678709840033	0.699916067066566	0.700023808065668
