Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
PMB+F+I+R5       -26470.731   53203.462 +    0.796   53341.798 +    0.577   53720.313 +    0.358
PMB+F+R5         -26473.734   53207.468 +    0.107   53343.165 +    0.291   53720.373 +    0.347
PMB+F+I+R4       -26476.871   53211.742 -   0.0127   53344.837 +    0.126   53720.701 +    0.294
PMB+F+I+R6       -26471.075   53208.150 +   0.0764   53351.876 -  0.00374   53732.891 - 0.000664
PMB+F+R6         -26474.455   53212.911 -  0.00707   53353.923 -  0.00134   53733.706 - 0.000441
Blosum62+F+R5    -26500.635   53261.271 - 2.23e-13   53396.968 - 6.05e-13   53774.175 -  7.2e-13
Blosum62+F+I+R5  -26497.787   53257.573 - 1.42e-12   53395.909 - 1.03e-12   53774.424 - 6.36e-13
Blosum62+F+I+R4  -26504.589   53267.178 - 1.16e-14   53400.273 - 1.16e-13   53776.137 -  2.7e-13
Blosum62+F+I+R6  -26497.995   53261.991 - 1.56e-13   53405.716 - 7.62e-15   53786.731 - 1.35e-15
Blosum62+F+R6    -26501.902   53267.803 -  8.5e-15   53408.816 - 1.62e-15   53788.599 - 5.31e-16
VT+F+I+R4        -26512.743   53283.485 - 3.34e-18   53416.580 - 3.33e-17   53792.444 - 7.76e-17
VT+F+I+R5        -26508.281   53278.562 - 3.92e-17   53416.898 - 2.84e-17   53795.412 - 1.76e-17
VT+F+R5          -26511.670   53283.340 -  3.6e-18   53419.037 - 9.75e-18   53796.244 - 1.16e-17
VT+F+R6          -26511.362   53286.724 - 6.62e-19   53427.736 - 1.26e-19   53807.520 - 4.14e-20
PMB+R5           -26599.370   53420.740 - 5.25e-48   53512.829 - 4.19e-38   53858.682 - 3.21e-31
PMB+I+R5         -26596.658   53417.315 - 2.91e-47   53511.412 - 8.52e-38   53859.202 - 2.48e-31
PMB+I+R4         -26605.417   53430.835 - 3.37e-50   53520.945 - 7.25e-40   53864.831 - 1.48e-32
PMB+I+R6         -26596.231   53420.463 - 6.03e-48   53518.665 - 2.27e-39   53870.241 - 9.93e-34
PMB+R6           -26601.305   53428.609 - 1.03e-49   53524.744 - 1.08e-40   53874.442 - 1.22e-34
VT+R5            -26638.773   53499.547 - 4.05e-65   53591.635 - 3.24e-55   53937.488 - 2.48e-48
VT+I+R5          -26636.219   53496.438 - 1.92e-64   53590.535 - 5.61e-55   53938.325 - 1.63e-48
VT+I+R4          -26646.035   53512.071 - 7.72e-68   53602.181 - 1.66e-57   53946.067 -  3.4e-50
VT+I+R6          -26635.123   53498.246 - 7.76e-65   53596.448 - 2.92e-56   53948.024 - 1.28e-50
VT+R6            -26639.239   53504.479 - 3.44e-66   53600.613 - 3.63e-57   53950.311 - 4.07e-51
Blosum62+R5      -26674.419   53570.838 - 1.34e-80   53662.926 - 1.07e-70   54008.779 -  8.2e-64
Blosum62+I+R5    -26672.143   53568.287 - 4.79e-80   53662.383 -  1.4e-70   54010.174 - 4.08e-64
Blosum62+I+R4    -26682.332   53584.665 - 1.33e-83   53674.775 - 2.86e-73   54018.661 - 5.86e-66
Blosum62+I+R6    -26671.029   53570.058 - 1.98e-80   53668.260 - 7.43e-72   54019.836 - 3.26e-66
Blosum62+R6      -26675.155   53576.309 - 8.68e-82   53672.443 - 9.18e-73   54022.142 - 1.03e-66
WAG+F+R5         -26636.739   53533.479 - 1.73e-72   53669.176 -  4.7e-72   54046.384 -  5.6e-72
